geoid,num_lines,bstp_has_bkrs,shelter,bstp_bnh_cnt,school_stop,bstp_geo_id,st_abbrev,pm25,aadt,transit_comm,walk_comm,time_comm,car_alone_comm,carpool_comm,total_bike_lanes,bikelane_protected,bikelane_dual_protected,shared_mobility,taxi_capacity,limo_capacity,restrict1,restrict2,local_deliv,density_score,four_way_intersection_ratio,sidewalk_score,pfi_score,name,poverty_est,race_white,race_black_aa,race_asian,race_hispanic,utc_pct
11001002702,0,0,0.22727272727272727,0.8181818181818181,0,22,DC,8.66580410958904,5958.477116180015,893,277,31.5,829,5,33,0,0,1,0,0,2,2,2,0.7615260538709677,0.1955162693548387,0.05306625935483871,0.8433698429032258,"Census Tract 27.02, District of Columbia, District of Columbia",4.2,4445,785,143,24.9,43.3068
11001002703,0,0,0.2,1,0,5,DC,8.66576931506849,6482.316125427292,481,138,34.1,292,0,0,0,0,0,0,0,0,0,0,0.7052820163636364,0.16539372454545453,0.06831380454545455,0.9286215872727273,0,0,0,0,0,0,32.68909090909091
11001002704,0,0,0,0.6666666666666666,0,3,DC,8.66576931506849,5386.282824320126,1227,85,31.3,409,0,11,0.16666666666666666,0,0,0,0,0,0,0,0.51108118,0.214307396,0.036796416,0.48439054000000004,0,0,0,0,0,0,59.492
11001002801,0,0,0.39999999999999997,0.8,0,5,DC,8.66714356164383,3066.8222811671094,1013,119,33,459,52,25,0,0,1,0,0,3,3,3,0.7122080516666667,0.09718690333333334,0.07388900166666666,1.0263160866666667,"Census Tract 28.01, District of Columbia, District of Columbia",19,1521,1599,92,32,18.915
11001002802,2,0,0.5,1,0,8,DC,8.66463890410959,8494.094443772197,1177,435,30.3,568,93,11,0.14285714285714288,0,2,3,0,1,1,1,0.8327437142857143,0.08603085,0.07543574285714286,1.1717849142857144,"Census Tract 28.02, District of Columbia, District of Columbia",24.5,1975,1090,319,42.8,14.629166666666666
11001002900,0,0,0.4444444444444444,1,0,9,DC,8.66926876712329,4498.192697982406,995,153,29.9,781,132,13,0,0,1,0,0,0,0,0,0.812051172631579,0.1257419305263158,0.07688319,1.179501522631579,"Census Tract 29, District of Columbia, District of Columbia",6.6,1975,1167,157,29.6,19.46842105263158
11001003000,0,0,0,0.8333333333333334,0,6,DC,8.66169808219178,8232.76223772316,963,195,30.1,538,91,20,0,0.10000000000000002,1,0,0,0,0,0,0.7856386490909091,0.10594754454545455,0.0755331890909091,1.1052272227272728,"Census Tract 30, District of Columbia, District of Columbia",24.6,1605,1309,95,16.4,21.895454545454545
11001003100,0,0.04545454545454546,0.1818181818181818,0.9090909090909091,0,22,DC,8.65793205479452,6014.574028118697,635,168,33,787,112,16,0,0.5,3,0,0,0,0,0,0.8117562616666667,0.11058811722222223,0.0772,1.1866460922222222,"Census Tract 31, District of Columbia, District of Columbia",11.9,1194,981,221,33.4,19.2195
11001003200,0,0,0,1,0,10,DC,8.66486383561644,5049.840802253564,788,137,33.2,709,252,65,0.5849056603773585,0.16981132075471692,3,0,0,0,0,0,0.7672845580645161,0.06986440322580645,0.07377195935483871,1.117345464516129,"Census Tract 32, District of Columbia, District of Columbia",10.4,1474,2260,234,24,18.18793103448276
11001003301,0,0,0.08333333333333334,0.9166666666666666,0,12,DC,8.66407534246575,4860.403690569325,655,274,32,783,243,0,0,0,3,0,0,7,7,7,0.6626016229411764,0.3038931670588235,0.07235049823529412,0.9973681864705882,"Census Tract 33.01, District of Columbia, District of Columbia",1.2,1877,1785,182,6.2,16.417083333333334
